,,,question is relevant,,,,question is meaningful,,,,question is correct,,,,,,,,,,
image_id,question,answer,person_1,person_2,person_3,score,person_1,person_2,person_3,score,person_1,person_2,person_3,scores,,,,,question_is_relevant,question_is_meaningful,answer_is_correct
711,How is the dining room located?,A living room,0,0,0,0,2,0,0,0,0,0,0,0,,0,,,,,
974,Is riding on the back of an elephant  a group of people or a group of people?,people,1,1,0,1,0,0,0,0,1,2,0,2,,2,,,,,
974,How are people riding on the back of an elephant?,back,1,1,1,1,2,2,1,2,2,0,0,0,,0,,,,,
1146,Why was the coat of arms worn?,glasses,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,
1146,What type of person is wearing glasses and a suit and tie?,a suit and tie,1,0,1,1,2,2,1,2,2,0,0,0,,0,,,,,
1153,What was sitting on a bowl?,a bowl,1,1,1,1,0,1,1,1,0,0,0,1,,0,,,,,
1180,Why is a woman standing at a table with a cake in her hand?,woman,1,1,1,1,2,2,1,2,0,0,1,0,,0,,,,,
1340,Are there flowers in a vase?,flowers in it,1,1,1,1,1,1,1,1,2,0,0,1,,0,,,,,
1448,How is the grass on which a giraffe grazes typically grown?,field,1,1,1,1,2,1,1,1,2,0,0,1,,0,,,,,
1554,Are two sheep standing in a field with people or sheep?,people,1,1,0,1,0,0,1,0,0,0,0,0,,0,,,,,
1626,Are the two men in the room with the video game in mind?,a video game,1,1,1,1,0,2,0,0,0,0,0,0,,0,,,,,
1655,Does the person taking a picture of the mountain take a picture?,a picture of a mountain,1,1,1,1,0,2,1,2,1,0,1,0,,1,,,,,
1655,What did a man take a picture of?,mountain,1,1,1,1,2,1,0,2,1,1,0,0,,1,,,,,
2006,How is a purple bus travelling down how far?,a city street,1,1,1,1,0,2,0,0,2,1,0,2,,2,,,,,
2006,How is a purple bus travelling down how far?,a city street,1,1,0,1,2,2,1,2,2,1,2,2,,2,,,,,
3067,What is on the desk next to a coffee table?,an apple and a phone,1,1,0,1,1,2,1,1,1,2,2,2,,2,,,,,
3067,What is on the desk next to a coffee table?,an apple and a phone,1,1,1,1,1,2,1,1,1,2,0,2,,2,,,,,
131418,Are there any umbrellas in the rain?,umbrellas,1,1,0,1,2,2,0,2,2,0,0,0,,0,,,,,
131497,What animal is lying on top of what?,couch,1,1,0,1,2,2,0,2,2,0,0,0,,0,,,,,
131597,How did the protesters approach the police?,lot,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,,
132272,Is it true that wine and food are interchangeable?,a glass of wine,1,1,0,1,1,0,1,1,0,0,1,1,,0,,,,,
132317,What position did a suitcase sit on?,top,0,0,1,0,0,0,1,0,0,0,0,0,,0,,,,,
132415,What type of pizza is served on a plate with a fork?,a plate,1,1,1,1,1,1,1,1,0,0,0,1,,0,,,,,
132415,Are slices of pizza on a plate or a fork?,pizza,1,1,1,1,0,1,1,1,0,0,0,1,,0,,,,,
