,,,question is relevant,,,,question is meaningful,,,,answer is correct,,,
image_id,original_question,original_answer,person_1,person_2,person_3,scores,person_1,person_2,person_3,scores,person_1,person_2,person_3,scores
711,How many couches?,2,1,1,1,1,1,1,1,1,1,1,1,1
974,Are these people in the jungle?,yes,1,1,1,1,1,1,1,1,2,1,2,2
974,How many people are in the image?,4,1,1,1,1,1,1,1,1,1,1,1,1
1146,Why does he have glasses on?,to see,1,1,1,1,1,1,1,1,1,1,1,1
1146,What animal is on the man's shirt?,none,1,1,1,1,1,1,1,1,1,1,1,1
1153,What kind of container are the bananas sitting in?,bowl,1,1,1,1,1,1,1,1,1,1,1,1
1180,Why don't the women in the background get to cut the cake?,not their birthday,1,1,1,1,1,1,1,1,1,1,1,1
1340,Are these flowers artificial?,yes,1,1,1,1,1,1,1,1,1,1,1,1
1448,Is the giraffe shown here standing erect?,no,1,1,1,1,1,1,1,1,1,1,1,1
1554,Are these sheep shaved?,yes,1,1,1,1,1,1,1,1,1,1,1,1
1626,Are there flowers in the room?,yes,1,1,1,1,1,1,1,1,1,0,1,1
1655,Is the background of the picture blurry?,no,1,1,1,1,1,1,1,1,1,1,1,1
1655,What is this man taking a picture of?,mountains,1,1,1,1,1,1,1,1,1,1,1,1
2006,How many dots are on the bus?,30,1,1,1,1,1,1,1,1,1,0,1,1
2006,How many dots are on the bus?,30,1,1,1,1,1,1,1,1,1,0,1,1
3067,What color is the cat?,black,1,1,1,1,1,1,1,1,1,1,1,1
3067,What color is the cat?,black,1,1,1,1,1,1,1,1,1,1,1,1
131418,Can the people get into this building?,no,1,1,1,1,1,1,1,1,1,1,1,1
131497,What does the dog have on his head?,bed,1,1,1,1,1,1,1,1,1,1,1,1
131597,How many motorcycles are there?,4,1,1,1,1,1,1,1,1,1,0,1,1
132272,Is the man smiling?,yes,1,1,1,1,1,1,1,1,1,1,1,1
132317,What is sitting on the laptop?,dragonfly,1,1,1,1,1,1,1,1,1,1,1,1
132415,What is the pizza in?,plate,1,1,1,1,1,2,1,1,1,1,1,1
132415,Has anyone taken a bite of the slices now on this plate?,yes,1,1,1,1,1,1,1,1,1,1,1,1
132612,What is it called when all the zebra are together?,herd,1,1,1,1,1,1,1,1,1,0,1,1
132861,How many clocks can be seen on this building?,2,1,1,1,1,1,1,1,1,1,1,1,1
133251,What color is the larger dog?,black,1,1,1,1,1,1,1,1,1,1,1,1
133567,Is the train moving?,yes,1,1,1,1,1,1,1,1,1,0,1,1
133567,Is the train moving in this photo?,no,1,1,1,1,1,1,1,1,1,1,1,1
133567,Is the train moving in this photo?,no,1,1,1,1,1,1,1,1,1,1,1,1
133620,Is she wearing glasses?,yes,1,1,1,1,1,1,1,1,1,1,1,1
133620,What is she wearing on her head?,helmet,1,[],1,1,1,[],1,1,1,[],1,1
133636,Are the meters rusted?,no,1,1,1,1,1,1,1,1,1,1,1,1
